Vic_region	Employment
Ballarat	75600
Bendigo	79400
Geelong	143500
Greater Melbourne	2613600
Hume	80900
Latrobe - Gippsland	130500
Melbourne - Inner	422500
Melbourne - Inner East	207400
Melbourne - Inner South	235900
Melbourne - North East	284800
Melbourne - North West	194500
Melbourne - Outer East	285900
Melbourne - South East	426900
Melbourne - West	403100
Mornington Peninsula	152000
North West	72500
Shepparton	68600
Warrnambool and South West	65800
