Period	Employment_budget
1990	2081,785892
1991	2028,159167
1992	1956,37529
1993	1934,015651
1994	1941,997465
1995	2009,569757
1996	2065,42154
1997	2078,397374
1998	2104,441892
1999	2139,119965
2000	2171,82586
2001	2243,848709
2002	2270,380954
2003	2317,673479
2004	2349,781589
2005	2422,767205
2006	2473,569353
2007	2551,681988
2008	2630,132986
2009	2654,78402
2010	2719,220402
2011	2795,727764
2012	2819,510914
2013	2842,227449
2014	2857,826064
2015	2916,706592
